Name,Vac,Paco,Pdco,Vdco,Pso,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,Manufacturer,Model
ABB: PVI-10.0-I-OUTD-x-US-208-y [208V] 208V [CEC 2018],208.0,10000.0,10488.3,320.0,46.8638,-2.7758999999999995e-06,-3.60062e-05,0.000305465,-0.00235134,0.1,416.0,32.775999999999996,220.0,416.0,ABB,PVI-10.0-I-OUTD-x-US-208-y [208V] 208V [CEC 2018]
ABB: PVI-10.0-I-OUTD-x-US-480-y-z 480V [CEC 2011],480.0,10000.0,10297.50448,365.9636508,69.25752868,-1.36e-06,-5.31e-05,-3.85E-05,-0.0040921840000000004,0.4,900.0,34.0,300.0,750.0,ABB,PVI-10.0-I-OUTD-x-US-480-y-z 480V [CEC 2011]
ABB: PVI-10.0-I-OUTD-x-US-480-y-z [480V] 480V [CEC 2018],480.0,10000.0,10296.0,362.0,67.7909,-1.38839e-06,-4.875060000000001e-05,-0.000519934,-0.00385451,0.4,416.0,28.4419,220.0,416.0,ABB,PVI-10.0-I-OUTD-x-US-480-y-z [480V] 480V [CEC 2018]
ABB: PVI-12.0-I-OUTD-x-US-480-y 480V [CEC 2011],480.0,12000.0,12363.86131,374.0281746,69.19901719,-1.23e-06,-5.5700000000000005e-05,-3.87E-04,-0.00461,0.4,520.0,25.0,250.0,470.0,ABB,PVI-12.0-I-OUTD-x-US-480-y 480V [CEC 2011]
ABB: PVI-12.0-I-OUTD-x-US-480-y [480V] 480V [CEC 2018],480.0,12000.0,12358.8,370.0,62.5547,-1.009e-06,-5.57738e-05,-0.00143703,-0.0071119,0.4,416.0,33.4022,250.0,416.0,ABB,PVI-12.0-I-OUTD-x-US-480-y [480V] 480V [CEC 2018]
ABB: PVI-3.0-OUTD-S-US (208V) 208V [CEC 2009],208.0,3000.0,3147.009528,313.4292857,18.10412194,-8.65e-06,-1.21e-05,1.62E-03,-0.000217,0.1,600.0,20.0,160.0,530.0,ABB,PVI-3.0-OUTD-S-US (208V) 208V [CEC 2009]
ABB: PVI-3.0-OUTD-S-US (240V) 240V [CEC 2009],240.0,3000.0,3125.758222,340.8429365,19.86611212,-6.66e-06,-2.55e-05,1.05E-03,-0.000471,0.1,600.0,20.0,160.0,530.0,ABB,PVI-3.0-OUTD-S-US (240V) 240V [CEC 2009]
ABB: PVI-3.0-OUTD-S-US (277V) 277V [CEC 2009],277.0,3000.0,3110.342942,389.98626980000006,22.72013483,-5.68e-06,-4.44e-05,3.64E-05,-0.00155,0.2,600.0,20.0,160.0,530.0,ABB,PVI-3.0-OUTD-S-US (277V) 277V [CEC 2009]
ABB: PVI-3.0-OUTD-S-US [208V] 208V [CEC 2018],208.0,3000.0,3142.3,310.0,18.1663,-8.03949e-06,-1.10253e-05,0.00099853,-0.00028723599999999996,0.1,480.0,10.1365,100.0,480.0,ABB,PVI-3.0-OUTD-S-US [208V] 208V [CEC 2018]
ABB: PVI-3.0-OUTD-S-US [240V] 240V [CEC 2018],240.0,3000.0,3121.67,340.0,16.8808,-5.7019e-06,-2.11913e-05,0.000582316,-0.000712325,0.1,480.0,9.18138,100.0,480.0,ABB,PVI-3.0-OUTD-S-US [240V] 240V [CEC 2018]
